topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags,tips,correction
"Web","Angular","Was ist Dependency Injection in Angular?","Fehler","Design Pattern für Abhängigkeiten","Datenbank","Router","B","2","DI stellt Services automatisch bereit.","angular,di,pattern","@Injectable decorator","Singleton-Services"
"Web","REST API","Was ist HATEOAS?","Verschlüsselung","Hypermedia as Engine of State","Datenbank","Framework","B","3","HATEOAS = REST-Prinzip mit Links zu möglichen Aktionen.","rest,hateoas,api","Self-descriptive API","Richardson Maturity Level 3"
"Web","GraphQL","Was sind Resolver?","Frontend-Code","Funktionen die Daten liefern","Datenbank","Cache","B","2","Resolver bestimmen wie GraphQL-Felder aufgelöst werden.","graphql,resolver,api","Eine Funktion pro Feld","Kann async sein"
"Web","WebAssembly","Was ist WebAssembly?","JavaScript-Ersatz","Low-Level Bytecode für Browser","HTML-Framework","CSS-Preprocessor","B","2","WebAssembly ermöglicht Near-Native Performance im Browser.","wasm,webassembly,performance","Kompiliert aus C/C++/Rust","Ergänzt JavaScript"
"Web","PWA","Was macht eine Progressive Web App aus?","Nur offline","Offline-fähig, installierbar, responsive","Nur mobil","Nur desktop","B","2","PWAs kombinieren Web- und Native-App-Features.","pwa,progressive,web","Service Worker essentiell","App-ähnliche Erfahrung"
"Mobile","iOS","Was ist Swift?","Android-Sprache","iOS Programmiersprache","Framework","Datenbank","B","1","Swift ist Apples moderne Programmiersprache für iOS.","swift,ios,apple","Ersetzt Objective-C","Type-safe und schnell"
"Mobile","Android","Was ist Kotlin?","iOS-Sprache","Android Programmiersprache","Framework","Datenbank","B","1","Kotlin ist moderne JVM-Sprache für Android.","kotlin,android,jvm","Interoperabel mit Java","Null-Safety eingebaut"
"Mobile","Flutter","Was ist Flutter?","Native iOS","Cross-Platform Framework","Nur Android","Web-Framework","B","1","Flutter ermöglicht Apps aus einer Codebase.","flutter,dart,crossplatform","Google Framework","Hot Reload Feature"
"Mobile","React Native","Wie funktioniert React Native?","Webview","JavaScript Bridge zu Native","Kompiliert zu Native","HTML5","B","2","React Native nutzt Bridge zwischen JS und Native Code.","react-native,mobile,javascript","Facebook Framework","Write once, run anywhere"
"Mobile","App Store","Was ist App Store Optimization?","Programmierung","SEO für App Stores","Testing","Design","B","2","ASO verbessert App-Sichtbarkeit in Stores.","aso,appstore,optimization","Keywords, Screenshots wichtig","Ratings beeinflussen Ranking"
"Game Development","Unity","Was ist Unity?","Programmiersprache","Game Engine","Datenbank","Web-Framework","B","1","Unity ist plattformübergreifende Spiele-Engine.","unity,gamedev,engine","C# als Hauptsprache","2D und 3D Support"
"Game Development","Unreal","Was nutzt Unreal Engine primär?","Python","C++ und Blueprints","Java","JavaScript","B","2","Unreal nutzt C++ und visuelles Blueprint-System.","unreal,gamedev,cpp","High-End Grafik","Epic Games"
"Game Development","Game Loop","Was ist der Game Loop?","Fehler","Kern-Updatezyklus","Speicher","Netzwerk","B","1","Game Loop: Input -> Update -> Render, wiederholt.","gameloop,gamedev,pattern","60 FPS = 16.67ms pro Frame","Deterministisch wichtig"
"Game Development","Collision","Was ist AABB?","Sound-System","Axis-Aligned Bounding Box","Netzwerk","Shader","B","2","AABB = einfache Kollisionserkennung mit ausgerichteten Boxen.","aabb,collision,gamedev","Schnell aber ungenau","Erste Stufe der Erkennung"
"Game Development","Shader","Was ist ein Vertex Shader?","Sound","Verarbeitet Vertices","Physik","KI","B","2","Vertex Shader transformiert 3D-Punkte für Darstellung.","shader,graphics,vertex","GPU-Programm","Teil der Graphics Pipeline"
"Embedded","Arduino","Was ist Arduino?","Betriebssystem","Mikrocontroller-Plattform","Datenbank","Web-Framework","B","1","Arduino ist Open-Source Hardware/Software Plattform.","arduino,embedded,microcontroller","Einfacher Einstieg","C/C++ basiert"
"Embedded","Raspberry Pi","Was unterscheidet Raspberry Pi von Arduino?","Kein Unterschied","Pi ist vollwertiger Computer","Arduino ist schneller","Pi hat kein OS","B","2","Raspberry Pi läuft Linux, Arduino ist Mikrocontroller.","raspberry-pi,embedded,sbc","Single Board Computer","GPIO für Hardware"
"Embedded","RTOS","Was ist ein RTOS?","Regular OS","Real-Time Operating System","Remote OS","Random OS","B","2","RTOS garantiert Antwortzeiten für kritische Tasks.","rtos,embedded,realtime","Deterministisch","FreeRTOS populär"
"Embedded","I2C","Was ist I2C?","Programmiersprache","Serielles Kommunikationsprotokoll","Betriebssystem","Datenbank","B","2","I2C = Two-Wire Interface für Chip-Kommunikation.","i2c,embedded,protocol","SDA und SCL Leitungen","Master-Slave Prinzip"
"Embedded","SPI","Was ist der Vorteil von SPI gegenüber I2C?","Weniger Pins","Höhere Geschwindigkeit","Mehr Geräte","Einfacher","B","2","SPI ist schneller aber braucht mehr Pins.","spi,embedded,protocol","Full-Duplex möglich","MOSI, MISO, SCLK, SS"
"Cybersecurity","Penetration Testing","Was ist Black Box Testing?","Mit Quellcode","Ohne Vorwissen","Mit Dokumentation","Mit Admin-Rechten","B","2","Black Box simuliert externen Angreifer ohne Insider-Wissen.","pentest,blackbox,security","Realistischster Test","Zeitaufwändig"
"Cybersecurity","OWASP","Was ist die OWASP Top 10?","Programmierer-Liste","Häufigste Web-Sicherheitslücken","Beste Tools","Top Firmen","B","1","OWASP Top 10 listet kritischste Web-App-Risiken.","owasp,security,web","Injection oft #1","Regelmäßig aktualisiert"
"Cybersecurity","XSS","Was ist Cross-Site Scripting?","Netzwerk-Angriff","JavaScript-Injection","DOS-Attacke","Virus","B","2","XSS injiziert schädliches Script in Webseiten.","xss,security,web","Reflected, Stored, DOM-based","Input-Validierung wichtig"
"Cybersecurity","CSRF","Was ist CSRF?","Virus","Cross-Site Request Forgery","Verschlüsselung","Firewall","B","2","CSRF nutzt Vertrauen der Website in Browser aus.","csrf,security,web","Tokens als Schutz","State-changing Requests"
"Cybersecurity","Zero Day","Was ist ein Zero-Day Exploit?","Alter Exploit","Unbekannte Schwachstelle","Patch","Update","B","2","Zero-Day nutzt noch unbekannte/ungepatchte Lücke.","zero-day,exploit,security","Sehr wertvoll","Keine Verteidigung verfügbar"
"Cybersecurity","Ransomware","Wie funktioniert Ransomware?","Löscht Daten","Verschlüsselt und erpresst","Spioniert","Verlangsamt","B","1","Ransomware verschlüsselt Daten und fordert Lösegeld.","ransomware,malware,security","Backup essentiell","Nicht zahlen empfohlen"
"Cybersecurity","Social Engineering","Was ist Phishing?","Programmierung","Täuschung für Datendiebstahl","Verschlüsselung","Firewall","B","1","Phishing täuscht Opfer zur Preisgabe von Daten.","phishing,social-engineering,security","E-Mail häufigster Vektor","Awareness Training wichtig"
"Cybersecurity","Cryptography","Was ist AES-256?","Hash-Funktion","Symmetrische Verschlüsselung","Asymmetrische Verschlüsselung","Protokoll","B","2","AES-256 = symmetrischer Verschlüsselungsstandard mit 256-Bit Schlüssel.","aes,encryption,crypto","US-Regierungsstandard","Sehr sicher"
"Cybersecurity","PKI","Was ist eine Certificate Authority?","Firewall","Zertifikatsaussteller","Antivirus","Router","B","2","CA stellt digitale Zertifikate aus und verifiziert Identitäten.","ca,pki,certificate","Root CAs vertrauenswürdig","Chain of Trust"
"Cybersecurity","IDS/IPS","Was ist der Unterschied zwischen IDS und IPS?","Kein Unterschied","IDS erkennt, IPS verhindert","IPS ist älter","IDS ist schneller","B","2","IDS detektiert nur, IPS blockiert aktiv Angriffe.","ids,ips,security","IPS inline, IDS passive","False Positives problematisch"
"Data Science","Pandas","Was ist ein DataFrame?","Liste","Tabellarische Datenstruktur","Dictionary","Array","B","1","DataFrame ist 2D-Datenstruktur in Pandas.","pandas,dataframe,python","Wie Excel-Tabelle","df.head() zeigt Anfang"
"Data Science","NumPy","Was ist Broadcasting?","Fehler","Automatische Array-Anpassung","Netzwerk","Speicher","B","2","Broadcasting ermöglicht Operationen auf Arrays verschiedener Größe.","numpy,broadcasting,array","Vermeidet explizite Loops","Effizienter"
"Data Science","Visualization","Was ist Matplotlib?","Datenbank","Python Plotting Library","Web-Framework","Machine Learning","B","1","Matplotlib erstellt Visualisierungen in Python.","matplotlib,visualization,python","plt.plot() für Linien","Basis für Seaborn"
"Data Science","Statistics","Was ist die Standardabweichung?","Mittelwert","Streuungsmaß","Median","Modus","B","2","Standardabweichung misst Streuung um Mittelwert.","statistics,stddev,math","Wurzel der Varianz","σ (Sigma)"
"Data Science","Regression","Was ist lineare Regression?","Klassifikation","Vorhersage kontinuierlicher Werte","Clustering","Dimensionsreduktion","B","2","Lineare Regression modelliert lineare Beziehungen.","regression,linear,ml","y = mx + b","Least Squares Methode"
"Data Science","Classification","Was ist Logistische Regression?","Regression","Binäre Klassifikation","Clustering","Zeitreihen","B","2","Logistische Regression für Wahrscheinlichkeiten 0-1.","logistic,classification,ml","Sigmoid-Funktion","Trotz Name Klassifikation"
"Data Science","Clustering","Was ist K-Means?","Supervised Learning","Unsupervised Clustering","Regression","Classification","B","2","K-Means gruppiert Daten in K Cluster.","kmeans,clustering,unsupervised","Zentroid-basiert","K muss vorgegeben werden"
"Data Science","Big Data","Was sind die 3 V's von Big Data?","Verschlüsselung","Volume, Velocity, Variety","Virtualisierung","Validierung","B","1","Big Data charakterisiert durch Volumen, Geschwindigkeit, Vielfalt.","bigdata,3v,data","Erweitert auf 5V","Veracity, Value zusätzlich"
"Data Science","Hadoop","Was ist HDFS?","Datenbank","Hadoop Distributed File System","Programmiersprache","Web-Server","B","2","HDFS speichert große Datenmengen verteilt.","hdfs,hadoop,bigdata","Replikation für Ausfallsicherheit","Block-basiert"
"Data Science","Spark","Was ist Apache Spark?","Datenbank","Big Data Processing Framework","Web-Server","Betriebssystem","B","2","Spark verarbeitet große Datenmengen im Speicher.","spark,bigdata,processing","100x schneller als Hadoop","RDD, DataFrame, Dataset"
"Blockchain","Bitcoin","Was ist Mining?","Programmierung","Proof-of-Work Validierung","Handel","Speicherung","B","2","Mining validiert Transaktionen und erstellt neue Blocks.","bitcoin,mining,blockchain","SHA-256 Hashing","Difficulty Adjustment"
"Blockchain","Ethereum","Was ist Gas in Ethereum?","Kraftstoff","Transaktionsgebühr-Einheit","Token","Wallet","B","2","Gas misst Rechenaufwand für Transaktionen.","ethereum,gas,blockchain","Verhindert Spam","Gas Price × Gas Limit"
"Blockchain","Consensus","Was ist Proof of Stake?","Mining","Validierung durch Einsatz","Geschwindigkeit","Speicher","B","2","PoS wählt Validatoren nach Stake-Größe.","pos,consensus,blockchain","Energieeffizienter als PoW","Ethereum 2.0"
"Blockchain","DApp","Was ist eine DApp?","Desktop App","Dezentrale Applikation","Datenbank","Design App","B","2","DApp läuft auf Blockchain statt zentralem Server.","dapp,blockchain,decentralized","Smart Contract Backend","Keine Single Point of Failure"
"Blockchain","Wallet","Was ist ein Private Key?","Passwort","Geheimer Schlüssel für Signatur","Benutzername","Adresse","B","2","Private Key signiert Transaktionen und beweist Besitz.","privatekey,wallet,blockchain","Niemals teilen","Seed Phrase als Backup"
"Business Intelligence","ETL","Was bedeutet ETL?","Test","Extract, Transform, Load","Verschlüsselung","Entwicklung","B","1","ETL-Prozess bereitet Daten für Analyse auf.","etl,bi,data","Data Warehouse Pipeline","Automatisierung wichtig"
"Business Intelligence","OLAP","Was ist OLAP?","Datenbank","Online Analytical Processing","Programmierung","Netzwerk","B","2","OLAP ermöglicht mehrdimensionale Datenanalyse.","olap,bi,analytics","Cube-Konzept","Drill-down, Roll-up"
"Business Intelligence","Dashboard","Was ist ein KPI Dashboard?","Website","Kennzahlen-Visualisierung","Datenbank","Programm","B","1","Dashboard zeigt wichtige Metriken auf einen Blick.","dashboard,kpi,bi","Real-time Updates","Drill-through möglich"
"Business Intelligence","Data Warehouse","Was ist ein Data Mart?","Großes DWH","Teilbereich eines DWH","Datenbank","Cache","B","2","Data Mart ist spezialisiertes Subset eines Data Warehouse.","datamart,dwh,bi","Abteilungsspezifisch","Schnellere Queries"
"Business Intelligence","Reporting","Was ist Ad-hoc Reporting?","Geplante Reports","Spontane Berichte nach Bedarf","Automatische Reports","Keine Reports","B","1","Ad-hoc Reports werden bei Bedarf erstellt.","adhoc,reporting,bi","Self-Service BI","Flexibilität wichtig"
