topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags
"Sicherheit","Passwörter","Was macht ein sicheres Passwort aus?","Nur Zahlen","Lang, komplex, einzigartig","Nur Buchstaben","Immer gleich","B","1","Sichere Passwörter sind lang, enthalten verschiedene Zeichen und sind einzigartig.","passwort,sicherheit,authentifizierung"
"Support","Schulung","Warum sind Benutzerschulungen wichtig?","Zeitverschwendung","Effizienz und Fehlervermeidung","Nur für Anfänger","Gesetzlich vorgeschrieben","B","2","Schulungen erhöhen Produktivität und reduzieren Supportaufwand.","schulung,support,training"
"Hardware","Toner","Was ist der Unterschied zwischen Toner und Tinte?","Kein Unterschied","Toner ist Pulver, Tinte ist flüssig","Toner ist billiger","Tinte hält länger","B","1","Laserdrucker verwenden Tonerpulver, Tintenstrahldrucker flüssige Tinte.","toner,tinte,drucker"
"Wirtschaft","ROI","Wie berechnet man den Return on Investment?","Gewinn / Kosten","(Gewinn - Investition) / Investition","Umsatz - Kosten","Investition × Zeit","B","2","ROI = (Ertrag - Investition) / Investition × 100%","roi,wirtschaft,investition"
"IT-Management","SLA","Was definiert ein Service Level Agreement?","Preise","Leistungsumfang und Reaktionszeiten","Nur Öffnungszeiten","Mitarbeiterzahl","B","2","SLAs legen messbare Serviceleistungen und Qualitätskriterien fest.","sla,service,vertrag"
"Netzwerk","Firewall","Wozu dient eine Firewall?","Kühlung","Schutz vor unerwünschtem Netzwerkverkehr","Stromerzeugung","Datenspeicherung","B","1","Firewalls kontrollieren und filtern Netzwerkverkehr nach Regeln.","firewall,sicherheit,netzwerk"
"Support","Ticketsystem","Warum nutzen IT-Abteilungen Ticketsysteme?","Zum Spielen","Zur systematischen Problemverfolgung","Für Lotterien","Für Kinokarten","B","2","Ticketsysteme dokumentieren und priorisieren Supportanfragen strukturiert.","ticket,support,verwaltung"
"Hardware","RAID","Was bietet RAID 1?","Geschwindigkeit","Datenspiegelung","Kompression","Verschlüsselung","B","2","RAID 1 spiegelt Daten auf zwei Festplatten für Ausfallsicherheit.","raid,speicher,redundanz"
"Virtualisierung","VM","Was ist eine virtuelle Maschine?","Physischer Computer","Software-basierter Computer","3D-Drucker","Roboter","B","1","VMs sind isolierte Computerumgebungen innerhalb eines physischen Systems.","vm,virtualisierung,server"
"Cloud","IaaS","Was bedeutet Infrastructure as a Service?","Internet-Zugang","Bereitstellung von IT-Infrastruktur","Versicherung","Immobilien","B","2","IaaS stellt virtuelle IT-Ressourcen wie Server und Speicher bereit.","iaas,cloud,infrastruktur"
"Projektmanagement","Agile","Was kennzeichnet agile Projektmethoden?","Starre Planung","Iterative Entwicklung in Sprints","Keine Dokumentation","Endlose Laufzeit","B","2","Agile Methoden arbeiten in kurzen, flexiblen Entwicklungszyklen.","agile,scrum,projekt"
"Datenbank","SQL","Was macht der SELECT-Befehl?","Löscht Daten","Liest Daten aus","Ändert Daten","Erstellt Tabellen","B","1","SELECT liest Daten aus Datenbanktabellen nach Kriterien aus.","sql,datenbank,select"
"Programmierung","Git","Wozu dient Git?","Grafikbearbeitung","Versionsverwaltung","Textverarbeitung","Tabellenkalkulation","B","1","Git ist ein System zur Versionsverwaltung von Quellcode.","git,versionierung,entwicklung"
"Netzwerk","OSI","Auf welcher OSI-Schicht arbeitet TCP?","Schicht 1","Schicht 4","Schicht 7","Schicht 2","B","2","TCP arbeitet auf Layer 4 (Transportschicht) des OSI-Modells.","osi,tcp,schichten"
"IT-Sicherheit","Verschlüsselung","Was ist AES?","E-Mail-Programm","Symmetrischer Verschlüsselungsstandard","Betriebssystem","Programmiersprache","B","2","AES (Advanced Encryption Standard) ist ein symmetrisches Verschlüsselungsverfahren.","aes,verschlüsselung,sicherheit"
"Support","Remote","Was ermöglicht Remote Desktop?","Fernzugriff auf Computer","Drucken","Scannen","Faxen","A","1","Remote Desktop ermöglicht Fernsteuerung von Computern über Netzwerk.","remote,desktop,support"
"Hardware","SSD","Was ist der Hauptvorteil von SSDs gegenüber HDDs?","Größere Kapazität","Höhere Geschwindigkeit","Niedrigerer Preis","Längere Garantie","B","1","SSDs sind deutlich schneller als mechanische Festplatten.","ssd,speicher,geschwindigkeit"
"Wirtschaft","Budget","Was ist ein IT-Budget?","Einkaufsliste","Finanzplanung für IT-Ausgaben","Gehaltsliste","Urlaubsplanung","B","1","IT-Budget plant Ausgaben für Hardware, Software und Services.","budget,planung,kosten"
"Netzwerk","DNS","Was macht ein DNS-Server?","Druckt Dokumente","Löst Domainnamen in IP-Adressen auf","Speichert Passwörter","Erstellt Backups","B","1","DNS übersetzt lesbare Domainnamen in IP-Adressen.","dns,netzwerk,auflösung"
"Support","FAQ","Wozu dienen FAQs?","Unterhaltung","Häufige Fragen selbst beantworten","Werbung","Dekoration","B","1","FAQs reduzieren Supportaufwand durch Selbsthilfe-Informationen.","faq,support,dokumentation"
"IT-Sicherheit","2FA","Was bedeutet Zwei-Faktor-Authentifizierung?","Zwei Passwörter","Zwei verschiedene Authentifizierungsmethoden","Zwei Benutzer","Zwei Computer","B","2","2FA kombiniert z.B. Passwort mit SMS-Code für mehr Sicherheit.","2fa,authentifizierung,sicherheit"
"Hardware","Monitor","Was bedeutet die Auflösung 1920x1080?","Bildschirmgröße","Full HD Pixelanzahl","Gewicht","Stromverbrauch","B","1","1920x1080 Pixel ergeben Full HD Auflösung.","monitor,auflösung,display"
"Wirtschaft","Lizenz","Was ist eine Volumenlizenz?","Einzellizenz","Mehrfachlizenz mit Mengenrabatt","Testlizenz","Freeware","B","2","Volumenlizenzen bieten Kostenvorteile bei mehreren Arbeitsplätzen.","lizenz,software,volumen"
"Support","Incident","Was ist ein Incident im IT-Support?","Unfall","Störung oder Ausfall","Meeting","Schulung","B","1","Incidents sind ungeplante Unterbrechungen oder Qualitätsminderungen.","incident,support,störung"
"Netzwerk","Switch","Was ist der Unterschied zwischen Hub und Switch?","Kein Unterschied","Switch arbeitet intelligenter","Hub ist schneller","Switch ist billiger","B","2","Switches leiten Pakete gezielt weiter, Hubs broadcasten an alle.","switch,hub,netzwerk"
